gene_id,velocity_gamma,velocity_r2,velocity_genes,means,dispersions,dispersions_norm,highly_variable,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,fit_diff_kinetics,fit_pval_kinetics
AT2G14900,0.037325542,0.8342144638299942,True,0.1760308508362438,0.6927216778517394,2.6450156216110985,True,4.6444456519176205,49.00695286350957,1.8520706752682965,9.103700266148833,0.01855373642407358,0.03180254250764847,0.9898797273635864,0.5469162264068831,0.0,0.0,0.44896552420664765,0.07164686857590441,2.359097813432715,0.6303253099133026,0.6048861029626472,,
AT5G58784,0.029149853,0.7818763852119446,True,0.14869584134375582,0.6223273609503455,2.3816437050419736,True,5.18129262683872,74.09420806260827,2.139952229436512,6.48106801143356,0.01337793410755694,0.020393237471580505,0.8269835710525513,0.4062634031876073,0.0,0.0,0.49056413553658273,0.05013645999546472,2.3612913079640094,0.8582850291165856,0.5212392730009773,Columella,0.006931187281676555
AT1G70850,0.06292631,0.7969304323196411,True,0.42412414487535066,0.5817462872572428,1.9283137996989526,True,5.028107004110131,26.997839839925916,1.5760698515167135,9.54270012167626,0.024555096896365286,0.0459870807826519,0.8849036693572998,0.4809391176966245,0.0,0.0,0.4897943620266537,0.1293461780480732,3.1866875328685573,0.22728918426525443,0.6788000176032464,,
AT4G35210,0.0,0.0,False,0.0094503506218764,0.030181790802969108,1.2189002432181797,True,,,,,,,,,,,,,,,,,
AT3G24065,0.0,0.0,False,0.0038206258971460122,0.3775314834635332,2.8992397914371324,True,,,,,,,,,,,,,,,,,
AT1G69880,0.09566297,0.19338345527648926,True,0.001299481546050301,0.20042750136797288,2.042481223485711,True,0.1394832578019403,6.86587789695443,0.9896104934183945,1.586577680106703,0.33119876699315176,0.008356300182640553,0.028454361483454704,8.922045035723586e-21,0.0,0.0,0.10467341517975792,0.029873308734371263,0.0820917837915878,1.9769284547302852,0.5337672337428402,,
AT5G66815,0.0,0.0,False,0.08054726462735667,0.3828859843546563,1.719351142438281,True,,,,,,,,,,,,,,,,,
AT2G03720,0.014235912,0.5849803388118744,True,0.04341376934806468,0.4576850862833343,3.286991016200595,True,6.94670335829715,231.33810422212642,2.799980831971704,1.0413712572903275,0.006926935308147222,0.008276445791125298,0.5645527839660645,0.03339559837383393,0.0,0.0,0.4277633241550672,0.02146794766956203,1.1822742973052864,0.532000728442789,0.280817526572234,,
AT5G07322,0.0,0.0,False,0.10582400016547473,0.39596332743335244,1.768230433974062,True,,,,,,,,,,,,,,,,,
AT5G18980,0.015682576,0.10377192497253418,True,0.025992626683303204,0.1577153199066505,1.8358566914458907,True,0.6947835902419104,17.664676627785024,0.33209648176106515,3.8822847816464474,0.035175250433385374,0.006669793743640184,0.3285098969936371,6.34399865881244e-36,0.0,0.0,0.4758747090750141,0.024140740687107354,0.8019182346841514,0.8678675842299285,2.3899211022588895,,
AT2G38870,0.26355577,0.914326898753643,True,0.3491761432203011,0.4818408739404185,1.7710823218569163,True,2.359491879713171,5.5226397531436495,1.238201025283524,6.544203205368433,0.10566820073872805,0.12614934146404266,0.5640823245048523,0.4242946800102639,0.0,0.0,0.47432363348646933,0.3062033711401559,1.3064364537532474,0.20837767037247693,0.7711191463749223,"Columella,Latera",1.3943074449225838e-11
AT5G16023,0.0,0.0,False,0.00048039515831266387,0.3499572442139232,2.7658465980582356,True,,,,,,,,,,,,,,,,,
AT1G06120,0.05691142,0.8468273431062698,True,0.1161849197955856,0.5295783349107901,2.2676443336280894,True,4.706642637059262,35.31433749186104,1.9838758998279944,8.547065676246259,0.021903767986223104,0.03619951382279396,0.7808825373649597,0.4459366771366372,0.0,0.0,0.47901324671650325,0.08448024504289138,1.4204864931565804,0.9062909416736157,0.5817583427359853,,
AT4G30270,0.014102247,0.3154292702674866,True,0.06836500910600767,0.30234358385129967,1.4183071573180461,True,0.6136115355811551,24.43369120858436,0.42529323237818156,7.373384585893397,0.02690189278218895,0.006918472237884998,0.3645443916320801,1.876520638925844e-117,0.0,0.0,0.4736548104344527,0.02003273236376407,1.1381448170989108,0.6514253137451858,1.756013962477726,,
AT1G18250,0.019309765,0.4821425676345825,True,0.023700593038074792,0.35153537712397026,2.773480976890663,True,1.2854305288919565,31.040270172293297,0.6659266445383276,2.288875375884747,0.02727247159462422,0.00920877791941166,0.42741918563842773,6.693196337117241e-53,0.0,0.0,0.4535490969295247,0.028141478907697044,0.9208875489662047,0.5711895951341213,1.424089347996277,,
AT3G06210,0.07872553,0.6053597033023834,True,0.025981060974878904,0.17656590853093343,1.9270483356070462,True,0.7887865089917873,7.374349060919506,0.5130555870138502,5.122511915830833,0.0925640631467104,0.02891552448272705,0.3765961527824402,1.938491231653726e-47,0.0,0.0,0.4863806492704096,0.08778570436643195,1.067714439327668,0.8826520157405953,1.6236944048178208,,
AT5G17820,0.014425727,0.6148487627506256,True,0.5159230701002477,0.8186909790799201,2.789761267808048,True,3.7577752850465553,61.8889352190182,0.9138791203889152,13.634496547194866,0.019513789415359493,0.017039837315678596,1.5128542184829712,0.474880386250547,0.0,0.0,0.4741919923902254,0.044638065053685366,3.9761747350386374,0.18970135530602442,1.2296225776787448,,
AT3G27060,0.0067626215,0.08267420530319214,False,0.08409894811281643,0.35970977186086545,1.6327252245922714,True,,,,,,,,,,,,,,,,,
AT2G40320,0.0096897585,0.5625630915164948,False,0.048405486695750094,0.527867595139111,3.6265060574268784,True,,,,,,,,,,,,,,,,,
AT3G48970,0.042543963,0.6592785716056824,True,0.061663118062319736,0.38449035063825654,2.932904020804732,True,2.8478390697570477,47.935123128044296,1.9533186561127813,6.535117717962677,0.019814088996499776,0.016616351902484894,0.42559608817100525,0.14082569040854112,0.0,0.0,0.43851823011161706,0.04720845279872813,1.0220066165985089,1.3464095031337753,0.508883993730787,,
AT4G17340,0.002503833,0.15821588039398193,False,0.39105923990030483,0.6334109830705597,2.128933401898126,True,,,,,,,,,,,,,,,,,
AT3G13650,0.0,0.0,False,0.23221702279257164,0.3902909251361747,1.1258718117167938,True,,,,,,,,,,,,,,,,,
AT3G18560,0.0,0.0,False,0.1089962121121287,0.272944945316256,1.3084236270732528,True,,,,,,,,,,,,,,,,,
